Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
BTX25,2025-11-05,101575,105030,99285,104240,3210,+3.18%,10701,26933
BTX25,2025-11-06,104150,104590,100610,101210,-3030.,-2.91%,8481,27153
BTX25,2025-11-07,101650,104225,99425,104030,2820,+2.79%,10128,27518
BTX25,2025-11-10,105120,107030,104555,106365,2335,+2.24%,10758,27544
BTX25,2025-11-11,106410,107900,102610,102955,-3410.,-3.21%,7206,27451
BTX25,2025-11-12,103160,105635,101010,101735,-1220.,-1.18%,7385,27682
BTX25,2025-11-13,102160,104305,97905,98125,-3610.,-3.55%,13367,28055
BTX25,2025-11-14,99705,100495,94230,94365,-3760.,-3.83%,16691,27843
BTX25,2025-11-17,94320,96145,91315,91970,-2395.,-2.54%,14433,27340
BTX25,2025-11-18,92175,93960,89325,92925,955,+1.04%,15238,27116
BTX25,2025-11-19,93185,93290,88600,89580,-3345.,-3.60%,14862,26853
BTX25,2025-11-20,90560,93225,86075,86440,-3140.,-3.51%,21510,26939
BTX25,2025-11-21,88080,88150,80745,84600,-1840.,-2.13%,33487,26373
BTZ25,2025-11-24,88245,89635,85600,89555,4955,+5.86%,28035,26501
BTZ25,2025-11-25,89090,89170,86460,87785,-1770.,-1.98%,22671,26260
BTZ25,2025-11-26,87920,90920,86605,90355,2570,+2.93%,24689,26526
BTZ25,2025-11-28,91490,93590,90590,91065,710,+0.79%,6614,24619
BTZ25,2025-12-01,91620,91660,84120,85760,-5305.,-5.83%,14390,24218
BTZ25,2025-12-02,86935,92705,86500,91455,5695,+6.64%,13300,24329
BTZ25,2025-12-03,92300,94310,91395,93265,1810,+1.98%,9650,24384
BTZ25,2025-12-04,94195,94440,91165,92840,-425.,-0.46%,6860,24287
BTZ25,2025-12-05,92590,92995,88405,89600,-3240.,-3.49%,7884,24210
BTZ25,2025-12-08,89820,92620,89800,90990,1390,+1.55%,8086,24304
BTZ25,2025-12-09,91090,94950,89770,93340,2350,+2.58%,11117,24793
BTZ25,2025-12-10,93040,94800,91810,92785,-555.,-0.59%,9911,24763
BTZ25,2025-12-11,92715,93850,89440,92010,-775.,-0.84%,11640,24692
BTZ25,2025-12-12,92725,93095,89640,90440,-1570.,-1.71%,8680,24849
BTZ25,2025-12-15,88575,90250,85290,85985,-4455.,-4.93%,13637,24602
BTZ25,2025-12-16,86305,88355,85355,87795,1810,+2.11%,10467,24502
BTZ25,2025-12-17,88015,90565,85405,85965,-1830.,-2.08%,15197,24336
BTZ25,2025-12-18,86445,89660,84505,84820,-1145.,-1.33%,19199,24171
BTZ25,2025-12-19,85585,89510,85135,88060,3240,+3.82%,17477,23919
BTF26,2025-12-22,89030,91140,88355,88870,810,+0.92%,19517,22566
BTF26,2025-12-23,89050,89450,86990,88140,-730.,-0.82%,13825,21988
BTF26,2025-12-24,87835,88185,86760,87750,-390.,-0.44%,10130,21718
BTF26,2025-12-26,88070,90120,86915,87960,210,+0.24%,8314,20061
BTF26,2025-12-29,88200,90990,87075,87560,-400.,-0.45%,10084,20000
BTF26,2025-12-30,87670,89960,87115,88260,700,+0.80%,7515,20166
BTF26,2025-12-31,88825,89705,87470,87885,-375.,-0.42%,6335,20419
BTF26,2026-01-02,88775,91555,88720,90190,2305,+2.62%,13106,20980
BTF26,2026-01-05,91595,95265,91595,94585,4395,+4.87%,14060,22226
BTF26,2026-01-06,94525,94885,91460,92795,-1790.,-1.89%,12544,22168
BTF26,2026-01-07,93730,94190,90880,91235,-1560.,-1.68%,9921,22498
BTF26,2026-01-08,91280,91840,89410,91105,-130.,-0.14%,7613,22804
BTF26,2026-01-09,91510,92275,89825,90405,-700.,-0.77%,8664,23362
BTF26,2026-01-12,90720,92830,90180,91660,1255,+1.39%,13370,23051
BTF26,2026-01-13,91330,94850,91145,94715,3055,+3.33%,11776,23843
BTF26,2026-01-14,95905,98210,94790,97965,3250,+3.43%,14303,24741
BTF26,2026-01-15,97250,97710,95285,95355,-2610.,-2.66%,9743,23725
BTF26,2026-01-16,95660,96060,94395,95665,310,+0.33%,6402,23886
BTF26,2026-01-20,95340,95600,89255,89665,-6000.,-6.27%,15514,24541
BTF26,2026-01-21,88495,90600,87270,90230,565,+0.63%,11689,24086
BTF26,2026-01-22,89890,90425,88490,89445,-785.,-0.87%,10166,24471
BTF26,2026-01-23,89430,91290,88550,89500,55,+0.06%,18277,24299
BTF26,2026-01-26,86560,88875,85900,87585,-1915.,-2.14%,17980,24123
BTG26,2026-01-27,88420,89920,87540,89745,2160,+2.47%,20170,24276
BTG26,2026-01-28,89685,90885,89140,89450,-295.,-0.33%,18474,22584
BTG26,2026-01-29,89660,89740,83475,84400,-5050.,-5.65%,22057,23427
BTG26,2026-01-30,84545,84945,80890,84105,-295.,-0.35%,10094,21546
BTG26,2026-02-02,77730,79665,74785,78205,-5900.,-7.02%,19141,22699
BTG26,2026-02-03,79000,79435,73085,76680,-1525.,-1.95%,12523,23044
BTG26,2026-02-04,75825,77110,72170,73570,-3110.,-4.06%,11743,22816
BTG26,2026-02-05,72550,73575,62480,63795,-9775.,-13.29%,26575,23039
BTG26,2026-02-06,64065,71690,60005,70260,6465,+10.13%,26207,23225
BTG26,2026-02-09,71310,72760,68400,70945,685,+0.97%,11637,23643
BTG26,2026-02-10,70520,70740,68000,68935,-2010.,-2.83%,7584,24157
BTG26,2026-02-11,68810,69415,65825,67715,-1220.,-1.77%,10116,23019
BTG26,2026-02-12,67635,68520,65195,65500,-2215.,-3.27%,11531,23375
BTG26,2026-02-13,66240,69580,65955,68835,3335,+5.09%,12362,23085
BTG26,2026-02-17,69120,70175,66635,67865,-970.,-1.41%,13076,23335
BTG26,2026-02-18,67625,68570,65895,66330,-1535.,-2.26%,9094,23722
BTG26,2026-02-19,66425,67400,65680,67205,875,+1.32%,9422,23985
BTG26,2026-02-20,66970,68450,66560,67825,620,+0.92%,16309,23803
BTG26,2026-02-23,67665,67760,63940,64510,-3315.,-4.89%,24587,22728
BTH26,2026-02-24,65065,65285,62835,64790,280,+0.43%,21466,22919
BTH26,2026-02-25,64490,70425,64210,69515,4725,+7.29%,25798,22202
BTH26,2026-02-26,68835,69195,66805,67770,-1745.,-2.51%,20938,21551
BTH26,2026-02-27,67700,68560,65390,65880,-1890.,-2.79%,9129,19814
BTH26,2026-03-02,65405,70445,65000,69480,3600,+5.46%,18921,20821
BTH26,2026-03-03,69545,69740,66385,68465,-1015.,-1.46%,14513,20302
BTH26,2026-03-04,68600,74365,67615,73445,4980,+7.27%,19747,22295
BTH26,2026-03-05,73075,73825,70845,71530,-1915.,-2.61%,11731,20942
BTH26,2026-03-06,71390,71645,67860,68295,-3235.,-4.52%,10781,20156
BTH26,2026-03-09,67085,69750,65685,69205,910,+1.33%,12362,20669
BTH26,2026-03-10,69175,72030,68485,70195,990,+1.43%,12679,21047
BTH26,2026-03-11,70005,71560,69080,70825,630,+0.90%,7504,21644
BTH26,2026-03-12,70910,71145,69345,70645,-180.,-0.25%,8169,21901
