Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
ERH24,2024-02-29,3381,3567.5,3353.5,3444,110,+3.30%,5738,6932
ERH24,2024-03-01,3366.5,3501,3363,3497.5,53.5,+1.55%,3852,7073
ERH24,2024-03-04,3510,3656.5,3460.5,3632.5,135,+3.86%,4291,7140
ERH24,2024-03-05,3651,3877,3303,3429.5,-203.,-5.59%,8503,7471
ERH24,2024-03-06,3537.5,3953,3533.5,3907.5,478,+13.94%,5127,7219
ERH24,2024-03-07,3846,3980,3776,3975,67.5,+1.73%,3008,7228
ERH24,2024-03-08,3895.5,4040,3856,3987,12,+0.30%,4619,7016
ERH24,2024-03-11,3922,4136,3766,4073.5,86.5,+2.17%,4879,6933
ERH24,2024-03-12,4088,4138.5,3852,4006,-67.5,-1.66%,4566,7239
ERH24,2024-03-13,3966,4126,3962,4032,26,+0.65%,2756,7303
ERH24,2024-03-14,4031,4047,3732,3797.5,-234.5,-5.82%,4271,7395
ERH24,2024-03-15,3879,3957.5,3589,3706,-91.5,-2.41%,5091,7367
ERH24,2024-03-18,3662,3701.5,3469.5,3492,-214.,-5.77%,3296,7344
ERH24,2024-03-19,3536,3558,3210,3347.5,-144.5,-4.14%,5089,7366
ERH24,2024-03-20,3299,3505,3063.5,3387,39.5,+1.18%,9644,7019
ERH24,2024-03-21,3505.5,3588,3417.5,3455,68,+2.01%,5566,6667
ERH24,2024-03-22,3507.5,3547,3282.5,3347,-108.,-3.13%,5449,7015
ERH24,2024-03-25,3429,3660.5,3424,3647,300,+8.96%,9215,6936
ERJ24,2024-03-26,3650,3719.5,3588.5,3602.5,-44.5,-1.22%,7204,7180
ERJ24,2024-03-27,3628,3704,3486,3517.5,-85.,-2.36%,9964,7171
ERJ24,2024-03-28,3534.5,3652,3495.5,3604.5,87,+2.47%,3375,6126
ERJ24,2024-04-01,3650.5,3706,3440,3516.5,-88.,-2.44%,3226,6547
ERJ24,2024-04-02,3521,3543.5,3235.5,3302.5,-214.,-6.09%,3002,6498
ERJ24,2024-04-03,3291,3395.5,3219,3343.5,41,+1.24%,2850,6376
ERJ24,2024-04-04,3341.5,3468.5,3270,3381.5,38,+1.14%,3337,6102
ERJ24,2024-04-05,3329.5,3364,3230,3337,-44.5,-1.32%,2771,6157
ERJ24,2024-04-08,3399,3741,3399,3727,390,+11.69%,4497,5725
ERJ24,2024-04-09,3709,3759,3465,3530.5,-196.5,-5.27%,4454,5984
ERJ24,2024-04-10,3523,3568,3424.5,3535,4.5,+0.13%,3373,5846
ERJ24,2024-04-11,3542.5,3634.5,3486,3533,-2.,-0.06%,1808,5857
ERJ24,2024-04-12,3522.5,3570,3071,3214.5,-318.5,-9.02%,5365,6067
ERJ24,2024-04-15,3096.5,3290.5,3032.5,3109,-105.5,-3.28%,4398,5762
ERJ24,2024-04-16,3118,3134,2997,3063,-46.,-1.48%,4071,5644
ERJ24,2024-04-17,3102.5,3125,2913,3006.5,-56.5,-1.84%,5054,5764
ERJ24,2024-04-18,2994,3099,2956.5,3070,63.5,+2.11%,2783,5543
ERJ24,2024-04-19,3067.5,3133,2865,3106.5,36.5,+1.19%,5351,5257
ERJ24,2024-04-22,3132,3238.5,3126.5,3190,83.5,+2.69%,5552,5210
ERJ24,2024-04-23,3204.5,3282.5,3153,3221,31,+0.97%,6591,5126
ERK24,2024-04-24,3256.5,3329,3124,3158,-63.,-1.96%,6256,5195
ERK24,2024-04-25,3158,3203,3092,3187,29,+0.92%,5592,5066
ERK24,2024-04-26,3190,3197,3121.5,3160,-27.,-0.85%,2998,4237
ERK24,2024-04-29,3232,3343,3126.5,3200.5,40.5,+1.28%,3013,4600
ERK24,2024-04-30,3207,3271.5,2922,2929.5,-271.,-8.47%,5317,5155
ERK24,2024-05-01,2989,3032,2825.5,2933,3.5,+0.12%,4159,4689
ERK24,2024-05-02,2985,3023,2898.5,3010.5,77.5,+2.64%,2489,4489
ERK24,2024-05-03,3012.5,3149.5,2973.5,3095.5,85,+2.82%,3270,4320
ERK24,2024-05-06,3159,3248.5,3063.5,3086.5,-9.,-0.29%,2878,4381
ERK24,2024-05-07,3101.5,3148.5,3035,3063,-23.5,-0.76%,2657,4411
ERK24,2024-05-08,3045,3066.5,2944.5,3005,-58.,-1.89%,2847,4564
ERK24,2024-05-09,2973.5,3039,2957.5,3031,26,+0.87%,2369,4483
ERK24,2024-05-10,3027.5,3070.5,2882,2903.5,-127.5,-4.21%,5528,5017
ERK24,2024-05-13,2928.5,3006.5,2871,2967,63.5,+2.19%,3978,4243
ERK24,2024-05-14,2959,2968.5,2865.5,2901,-66.,-2.22%,3645,4326
ERK24,2024-05-15,2903.5,3045,2870,3040.5,139.5,+4.81%,4358,4372
ERK24,2024-05-16,3033,3057.5,2937,2955.5,-85.,-2.80%,3103,4281
ERK24,2024-05-17,2946.5,3137.5,2932.5,3102,146.5,+4.96%,4292,4472
ERK24,2024-05-20,3080,3602.5,3055.5,3459.5,357.5,+11.52%,8288,4694
ERK24,2024-05-21,3650.5,3865,3628.5,3729.5,270,+7.80%,15240,5964
ERK24,2024-05-22,3771.5,3843,3675.5,3746.5,17,+0.46%,5466,6167
ERK24,2024-05-23,3794,3966,3523.5,3794.5,48,+1.28%,9143,6248
ERK24,2024-05-24,3865,3895.5,3637.5,3755,-39.5,-1.04%,8761,6689
ERK24,2024-05-28,3800,3982.5,3774.5,3841.5,86.5,+2.30%,10621,6544
ERM24,2024-05-29,3875,3917,3771.5,3776,-65.5,-1.71%,7764,6290
ERM24,2024-05-30,3796,3860,3732.5,3795,19,+0.50%,7498,6554
ERM24,2024-05-31,3780.5,3881,3743,3809,14,+0.37%,4377,6078
ERM24,2024-06-03,3804,3886.5,3781,3797,-12.,-0.32%,3231,6248
ERM24,2024-06-04,3799,3863,3748.5,3832,35,+0.92%,3071,6323
ERM24,2024-06-05,3843.5,3922,3800,3913.5,81.5,+2.13%,4409,6347
ERM24,2024-06-06,3884,3911.5,3788,3820,-93.5,-2.39%,2806,6439
ERM24,2024-06-07,3823.5,3877,3593.5,3709.5,-110.5,-2.89%,5976,6573
