Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
SJV25,2025-09-23,3.0095,3.0665,2.9805,3.0285,0.0235,+0.78%,9364,8485
SJV25,2025-09-24,2.9865,3.1695,2.96,3.158,0.1295,+4.28%,8507,9196
SJV25,2025-09-25,3.1005,3.118,2.8945,2.9195,-0.2385,-7.55%,4314,8664
SJV25,2025-09-26,2.917,2.982,2.8595,2.9695,0.05,+1.71%,1631,8233
SJV25,2025-09-29,3.0075,3.1005,3.0075,3.073,0.1035,+3.49%,1011,8460
SJV25,2025-09-30,3.06,3.0725,2.98,3.028,-0.045,-1.46%,615,8415
SJV25,2025-10-01,3.027,3.13,2.9785,3.1225,0.0945,+3.12%,1384,8557
SJV25,2025-10-02,3.0855,3.2745,3.0855,3.2625,0.14,+4.48%,1484,8842
SJV25,2025-10-03,3.213,3.2605,3.168,3.1935,-0.069,-2.11%,1296,8658
SJV25,2025-10-06,3.1455,3.2055,3.1125,3.181,-0.0125,-0.39%,1041,8871
SJV25,2025-10-07,3.1635,3.1635,2.998,3.0055,-0.1755,-5.52%,1815,8797
SJV25,2025-10-08,3.017,3.0735,2.981,3.0605,0.055,+1.83%,1255,9158
SJV25,2025-10-09,3.04,3.04,2.9175,2.9265,-0.134,-4.38%,1776,8980
SJV25,2025-10-10,2.945,2.98,2.55,2.8125,-0.114,-3.90%,1662,8875
SJV25,2025-10-13,2.687,2.7805,2.642,2.7615,-0.051,-1.81%,2151,9141
SJV25,2025-10-14,2.7535,2.758,2.526,2.6225,-0.139,-5.03%,2180,9036
SJV25,2025-10-15,2.6415,2.6815,2.512,2.536,-0.0865,-3.30%,1459,8903
SJV25,2025-10-16,2.5315,2.5975,2.4125,2.4535,-0.0825,-3.25%,1442,8896
SJV25,2025-10-17,2.444,2.526,2.3175,2.4245,-0.029,-1.18%,1502,9201
SJV25,2025-10-20,2.5265,2.6825,2.4815,2.659,0.2345,+9.67%,2741,9996
SJV25,2025-10-21,2.6145,2.6595,2.5305,2.621,-0.038,-1.43%,1080,10080
SJV25,2025-10-22,2.602,2.602,2.4795,2.4945,-0.1265,-4.83%,1848,9818
SJV25,2025-10-23,2.4725,2.548,2.4555,2.527,0.0325,+1.30%,3389,9933
SJV25,2025-10-24,2.5085,2.636,2.5055,2.627,0.1,+3.96%,7425,9951
SJV25,2025-10-27,2.7525,2.8185,2.723,2.79,0.163,+6.20%,9979,10494
SJX25,2025-10-28,2.7565,2.8075,2.7065,2.7555,-0.0345,-1.24%,8544,10952
SJX25,2025-10-29,2.724,2.7795,2.6605,2.701,-0.0545,-1.98%,8936,10848
SJX25,2025-10-30,2.689,2.7215,2.474,2.49,-0.211,-7.81%,4143,10107
SJX25,2025-10-31,2.5355,2.666,2.5335,2.6585,0.1685,+6.77%,1505,8770
SJX25,2025-11-03,2.6155,2.6415,2.3605,2.3885,-0.27,-10.16%,2161,8579
SJX25,2025-11-04,2.402,2.467,2.1675,2.2585,-0.13,-5.44%,1597,8409
SJX25,2025-11-05,2.3155,2.48,2.2025,2.4635,0.205,+9.08%,1809,8669
SJX25,2025-11-06,2.4535,2.5155,2.277,2.2845,-0.179,-7.27%,1738,8376
SJX25,2025-11-07,2.3025,2.473,2.249,2.4645,0.18,+7.88%,1953,8650
SJX25,2025-11-10,2.461,2.6855,2.4455,2.666,0.2015,+8.18%,1987,8993
SJX25,2025-11-11,2.629,2.6705,2.485,2.505,-0.161,-6.04%,1869,8639
SJX25,2025-11-12,2.496,2.546,2.4095,2.4475,-0.0575,-2.30%,1152,8586
SJX25,2025-11-13,2.475,2.62,2.3705,2.3925,-0.055,-2.25%,1061,8507
SJX25,2025-11-14,2.415,2.4385,2.3185,2.352,-0.0405,-1.69%,649,8472
SJX25,2025-11-17,2.3105,2.397,2.2025,2.234,-0.118,-5.02%,1672,8282
SJX25,2025-11-18,2.2615,2.3295,2.196,2.318,0.084,+3.76%,1353,8469
SJX25,2025-11-19,2.3175,2.3175,2.1145,2.1375,-0.1805,-7.79%,4989,8037
SJX25,2025-11-20,2.179,2.2365,2.0625,2.0955,-0.042,-1.96%,7188,7739
SJX25,2025-11-21,2.1245,2.1285,1.9085,2.0275,-0.068,-3.25%,7059,8787
SJZ25,2025-11-24,2.1235,2.37,2.1235,2.3325,0.305,+15.04%,10811,9147
SJZ25,2025-11-25,2.3185,2.349,2.232,2.282,-0.0505,-2.17%,7014,9479
SJZ25,2025-11-26,2.287,2.3375,2.229,2.31,0.028,+1.23%,1972,9372
SJZ25,2025-11-28,2.293,2.3575,2.24,2.2525,-0.0575,-2.49%,683,7962
SJZ25,2025-12-01,2.275,2.275,2.0615,2.0905,-0.162,-7.19%,1895,7525
SJZ25,2025-12-02,2.1135,2.264,2.074,2.241,0.1505,+7.20%,1629,7881
SJZ25,2025-12-03,2.2445,2.2995,2.222,2.2775,0.0365,+1.63%,709,8033
SJZ25,2025-12-04,2.291,2.2945,2.149,2.184,-0.0935,-4.11%,1144,7853
SJZ25,2025-12-05,2.1815,2.1905,2.0865,2.0985,-0.0855,-3.91%,603,7726
SJZ25,2025-12-08,2.1085,2.197,2.0975,2.165,0.0665,+3.17%,802,7792
SJZ25,2025-12-09,2.1545,2.254,2.1185,2.188,0.023,+1.06%,618,7825
SJZ25,2025-12-10,2.1875,2.1895,2.1125,2.139,-0.049,-2.24%,990,7761
SJZ25,2025-12-11,2.126,2.127,2.0525,2.0965,-0.0425,-1.99%,839,7788
SJZ25,2025-12-12,2.108,2.1195,2.0415,2.0725,-0.024,-1.14%,683,7791
SJZ25,2025-12-15,2.063,2.084,1.9385,1.955,-0.1175,-5.67%,1356,7672
SJZ25,2025-12-16,1.96,2.0175,1.9215,1.997,0.042,+2.15%,1114,7769
SJZ25,2025-12-17,1.994,2.0575,1.917,1.9435,-0.0535,-2.68%,3901,7718
SJZ25,2025-12-18,1.94,2.001,1.8675,1.873,-0.0705,-3.63%,4915,7951
SJZ25,2025-12-19,1.883,1.9865,1.838,1.976,0.103,+5.50%,8372,9215
SJF26,2025-12-22,1.9925,2.015,1.9575,1.9635,-0.0125,-0.63%,6902,9664
SJF26,2025-12-23,1.9695,1.974,1.93,1.946,-0.0175,-0.89%,5094,10243
SJF26,2025-12-24,1.9415,1.943,1.9025,1.914,-0.032,-1.64%,1710,9783
SJF26,2025-12-26,1.905,1.9445,1.8875,1.9155,0.0015,+0.08%,905,7522
SJF26,2025-12-29,1.923,1.9795,1.908,1.9105,-0.005,-0.26%,315,7503
SJF26,2025-12-30,1.9125,1.947,1.9055,1.929,0.0185,+0.97%,673,7532
SJF26,2025-12-31,1.9365,1.944,1.8725,1.8925,-0.0365,-1.89%,948,7450
SJF26,2026-01-02,1.9385,2.087,1.9305,2.0475,0.155,+8.19%,1704,7875
SJF26,2026-01-05,2.0855,2.422,2.0855,2.388,0.3405,+16.63%,2969,8541
SJF26,2026-01-06,2.4085,2.4865,2.2735,2.3275,-0.0605,-2.53%,1859,8358
SJF26,2026-01-07,2.36,2.3865,2.235,2.2415,-0.086,-3.69%,1136,8167
SJF26,2026-01-08,2.2265,2.2535,2.1275,2.1905,-0.051,-2.28%,865,8132
SJF26,2026-01-09,2.197,2.223,2.1355,2.147,-0.0435,-1.99%,643,8165
SJF26,2026-01-12,2.116,2.1705,2.096,2.1275,-0.0195,-0.91%,483,8278
SJF26,2026-01-13,2.1155,2.212,2.1085,2.1965,0.069,+3.24%,956,8351
SJF26,2026-01-14,2.247,2.2535,2.1755,2.2125,0.016,+0.73%,547,8386
SJF26,2026-01-15,2.2055,2.2085,2.1145,2.122,-0.0905,-4.09%,929,8289
SJF26,2026-01-16,2.133,2.147,2.0865,2.139,0.017,+0.80%,301,8277
SJF26,2026-01-20,2.1145,2.1145,1.9035,1.9605,-0.1785,-8.35%,1456,8103
