"Date","BTCUSD Return","BTCUSD Close","MBB Return","MBB Close","MBB Adj. Close","MUB Return","MUB Close","MUB Adj. Close","AGG Return","AGG Close","AGG Adj. Close","US10Y Return","US10Y Close","US10YT Return","US10YT Close","US5Y Return","US5Y Close","US30Y Return","US30Y Close","US2Y Return","US2Y Close"
03-21-2025,1.7699,84186.45,0.0751,93.55,88.72,0.0457,105.83,101.95,0.0760,98.74,93.99,0.1048,0.04258,0.1695,0.01925,-0.0338,0.04003,0.1741,0.04593,-0.1868,0.03967
03-22-2025,1.7617,83938.84,,,,,,,,,,,,,,,,,,,
03-23-2025,1.8002,85107.79,,,,,,,,,,,,,,,,,,,
03-24-2025,1.8912,87874.61,0.0696,93.07,88.27,0.0429,105.54,101.67,0.0718,98.36,93.63,0.1277,0.04346,0.2023,0.01979,-0.0104,0.04100,0.1930,0.04667,-0.1712,0.04043
03-25-2025,1.8921,87902.65,0.0717,93.25,88.44,0.0410,105.35,101.49,0.0728,98.45,93.72,0.1212,0.04321,0.1902,0.01959,-0.0157,0.04078,0.1927,0.04666,-0.1730,0.04034
03-26-2025,1.8766,87432.00,0.0702,93.12,88.32,0.0359,104.84,101.00,0.0702,98.21,93.49,0.1305,0.04357,0.2035,0.01981,-0.0099,0.04102,0.2022,0.04703,-0.1736,0.04031
03-27-2025,1.8727,87312.06,0.0691,93.02,88.22,0.0347,104.71,100.87,0.0696,98.16,93.44,0.1328,0.04366,0.1920,0.01962,-0.0113,0.04096,0.2083,0.04727,-0.1796,0.04002
03-28-2025,1.7557,83757.09,0.0764,93.66,88.83,0.0394,105.19,101.34,0.0758,98.73,93.99,0.0999,0.04239,0.1458,0.01886,-0.0372,0.03989,0.1825,0.04626,-0.1960,0.03922
03-29-2025,1.7138,82482.42,,,,,,,,,,,,,,,,,,,
03-30-2025,1.7158,82544.57,,,,,,,,,,,,,,,,,,,
03-31-2025,1.7120,82427.70,0.0778,93.78,88.94,0.0419,105.44,101.58,0.0779,98.92,94.17,0.0924,0.04210,0.1197,0.01843,-0.0449,0.03957,0.1700,0.04577,-0.2015,0.03895
04-01-2025,1.8056,85273.00,0.0817,93.79,89.27,0.0453,105.51,101.91,0.0819,98.96,94.51,0.0838,0.04177,0.1106,0.01828,-0.0514,0.03930,0.1572,0.04527,-0.2032,0.03887
04-02-2025,1.8175,85635.62,0.0794,93.59,89.08,0.0430,105.28,101.69,0.0807,98.85,94.41,0.0885,0.04195,0.0875,0.01790,-0.0459,0.03953,0.1633,0.04551,-0.1997,0.03904
04-03-2025,1.7086,82325.91,0.0867,94.22,89.68,0.0482,105.80,102.19,0.0864,99.37,94.91,0.0522,0.04055,0.0735,0.01767,-0.0927,0.03759,0.1462,0.04484,-0.2364,0.03725
04-04-2025,1.7679,84126.44,0.0862,94.18,89.64,0.0476,105.74,102.13,0.0874,99.46,94.99,0.0402,0.04009,0.1002,0.01811,-0.1031,0.03716,0.1304,0.04422,-0.2493,0.03662
04-05-2025,1.7325,83049.51,,,,,,,,,,,,,,,,,,,
04-06-2025,1.5933,78820.00,,,,,,,,,,,,,,,,,,,
04-07-2025,1.5966,78921.07,0.0746,93.17,88.68,0.0286,103.82,100.28,0.0736,98.20,93.79,0.0838,0.04177,0.2175,0.02004,-0.0654,0.03872,0.1820,0.04624,-0.2273,0.03769
04-08-2025,1.5356,77066.82,0.0678,92.58,88.12,0.0142,102.37,98.88,0.0680,97.69,93.30,0.1168,0.04304,0.2546,0.02065,-0.0521,0.03927,0.2211,0.04777,-0.2337,0.03738
04-09-2025,1.7368,83181.97,0.0682,92.62,88.15,0.0236,103.32,99.80,0.0704,97.91,93.51,0.1406,0.04396,0.2382,0.02038,-0.0104,0.04100,0.2244,0.04790,-0.1904,0.03949
04-10-2025,1.6266,79832.00,0.0605,91.95,87.52,0.0201,102.96,99.45,0.0620,97.14,92.78,0.1396,0.04392,0.3736,0.02261,-0.0256,0.04037,0.2393,0.04848,-0.2114,0.03847
04-11-2025,1.7588,83849.40,0.0600,91.91,87.48,0.0136,102.31,98.82,0.0609,97.04,92.68,0.1661,0.04494,0.3785,0.02269,0.0029,0.04155,0.2449,0.04870,-0.1847,0.03977
04-12-2025,1.8132,85504.95,,,,,,,,,,,,,,,,,,,
04-13-2025,1.7469,83487.64,,,,,,,,,,,,,,,,,,,
04-14-2025,1.7918,84853.69,0.0676,92.57,88.11,0.0225,103.21,99.69,0.0672,97.61,93.23,0.1360,0.04378,0.3068,0.02151,-0.0319,0.04011,0.2298,0.04811,-0.2091,0.03858
04-15-2025,1.7643,84018.29,0.0681,92.61,88.14,0.0246,103.42,99.89,0.0693,97.81,93.42,0.1258,0.04339,0.3062,0.02150,-0.0350,0.03998,0.2211,0.04777,-0.2079,0.03864
04-16-2025,1.7740,84311.16,0.0702,92.79,88.32,0.0270,103.66,100.13,0.0727,98.12,93.71,0.1111,0.04282,0.2758,0.02100,-0.0572,0.03906,0.2096,0.04732,-0.2243,0.03784
04-17-2025,1.8015,85148.71,0.0666,92.48,88.02,0.0264,103.60,100.07,0.0700,97.87,93.47,0.1227,0.04327,0.2783,0.02104,-0.0502,0.03935,0.2293,0.04809,-0.2218,0.03796
04-18-2025,1.7804,84506.50,,,,,,,,,,,,,,,,,,,
04-19-2025,1.8025,85177.25,,,,,,,,,,,,,,,,,,,
04-20-2025,1.8007,85122.97,,,,,,,,,,,,,,,,,,,
04-21-2025,1.8748,87376.68,0.0592,91.84,87.41,0.0202,102.97,99.46,0.0635,97.28,92.91,0.1453,0.04414,0.3323,0.02193,-0.0386,0.03983,0.2528,0.04901,-0.2261,0.03775
04-22-2025,1.9998,91173.93,0.0620,92.08,87.64,0.0217,103.13,99.61,0.0655,97.46,93.08,0.1388,0.04389,0.2953,0.02132,-0.0401,0.03977,0.2482,0.04883,-0.2198,0.03806
04-23-2025,2.0842,93740.10,0.0655,92.38,87.93,0.0253,103.49,99.96,0.0681,97.70,93.31,0.1399,0.04393,0.2667,0.02085,-0.0319,0.04011,0.2334,0.04825,-0.2036,0.03885
04-24-2025,2.0750,93459.86,0.0716,92.91,88.43,0.0293,103.89,100.35,0.0740,98.24,93.83,0.1170,0.04305,0.2230,0.02013,-0.0521,0.03927,0.2183,0.04766,-0.2228,0.03791
04-25-2025,2.1244,94963.00,0.0757,93.27,88.77,0.0306,104.02,100.47,0.0780,98.60,94.17,0.1002,0.04240,0.2066,0.01986,-0.0683,0.03860,0.2040,0.04710,-0.2325,0.03744
04-26-2025,2.0973,94137.54,,,,,,,,,,,,,,,,,,,
04-27-2025,2.1023,94290.50,,,,,,,,,,,,,,,,,,,
